Feature,Importance
std_x,0.061808877
energy_mag,0.06028728
mean_x,0.059039388
mean_y,0.057305023
mean_z,0.056489434
q75_mag,0.05074497
q25_mag,0.0492797
std_z,0.043290153
iqr_mag,0.04321497
mean_diff,0.043052163
mean_mag,0.043013692
std_y,0.04163326
median_mag,0.039367598
std_diff,0.036843523
var_mag,0.036012705
zero_crossing_rate,0.03244858
std_mag,0.032340676
range_y,0.03148191
range_x,0.027908977
max_mag,0.027723191
range_z,0.027181448
kurtosis_mag,0.025888234
min_mag,0.025605723
skew_mag,0.024270764
range_mag,0.023767736
